GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Season,year
Shot Chart Detail,0021500014,449,1626164,Devin Booker,1610612756,Phoenix Suns,3,2,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-11,146,1,1,20151028,PHX,DAL,Regular,7
Shot Chart Detail,0021500014,468,1626164,Devin Booker,1610612756,Phoenix Suns,3,0,26,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-26,1,1,20151028,PHX,DAL,Regular,7
Shot Chart Detail,0021500014,484,1626164,Devin Booker,1610612756,Phoenix Suns,4,10,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20151028,PHX,DAL,Regular,7
Shot Chart Detail,0021500014,521,1626164,Devin Booker,1610612756,Phoenix Suns,4,7,34,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,-5,1,0,20151028,PHX,DAL,Regular,7
Shot Chart Detail,0021500014,570,1626164,Devin Booker,1610612756,Phoenix Suns,4,3,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1,20151028,PHX,DAL,Regular,7
Shot Chart Detail,0021500014,586,1626164,Devin Booker,1610612756,Phoenix Suns,4,1,51,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,21,1,1,20151028,PHX,DAL,Regular,7
Shot Chart Detail,0021500014,597,1626164,Devin Booker,1610612756,Phoenix Suns,4,0,43,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,PHX,DAL,Regular,7
Shot Chart Detail,0021500032,577,1626164,Devin Booker,1610612756,Phoenix Suns,4,1,31,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,-1,1,0,20151030,PHX,POR,Regular,7
Shot Chart Detail,0021500067,173,1626164,Devin Booker,1610612756,Phoenix Suns,2,7,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,166,190,1,1,20151104,PHX,SAC,Regular,7
Shot Chart Detail,0021500067,179,1626164,Devin Booker,1610612756,Phoenix Suns,2,6,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,55,198,1,0,20151104,PHX,SAC,Regular,7
Shot Chart Detail,0021500067,484,1626164,Devin Booker,1610612756,Phoenix Suns,4,1,31,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,3,1,1,20151104,PHX,SAC,Regular,7
Shot Chart Detail,0021500097,456,1626164,Devin Booker,1610612756,Phoenix Suns,3,0,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,13,1,0,20151108,OKC,PHX,Regular,7
Shot Chart Detail,0021500097,482,1626164,Devin Booker,1610612756,Phoenix Suns,4,10,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,8,1,0,20151108,OKC,PHX,Regular,7
Shot Chart Detail,0021500097,598,1626164,Devin Booker,1610612756,Phoenix Suns,4,0,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,23,153,174,1,0,20151108,OKC,PHX,Regular,7
Shot Chart Detail,0021500143,279,1626164,Devin Booker,1610612756,Phoenix Suns,2,0,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-10,1,1,20151114,PHX,DEN,Regular,7
Shot Chart Detail,0021500143,431,1626164,Devin Booker,1610612756,Phoenix Suns,4,8,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,79,144,1,0,20151114,PHX,DEN,Regular,7
Shot Chart Detail,0021500143,442,1626164,Devin Booker,1610612756,Phoenix Suns,4,7,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,112,164,1,0,20151114,PHX,DEN,Regular,7
Shot Chart Detail,0021500143,444,1626164,Devin Booker,1610612756,Phoenix Suns,4,7,30,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,0,20151114,PHX,DEN,Regular,7
Shot Chart Detail,0021500143,470,1626164,Devin Booker,1610612756,Phoenix Suns,4,5,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,225,95,1,0,20151114,PHX,DEN,Regular,7
Shot Chart Detail,0021500143,477,1626164,Devin Booker,1610612756,Phoenix Suns,4,5,16,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,21,1,0,20151114,PHX,DEN,Regular,7
Shot Chart Detail,0021500143,486,1626164,Devin Booker,1610612756,Phoenix Suns,4,4,43,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,0,20151114,PHX,DEN,Regular,7
Shot Chart Detail,0021500143,523,1626164,Devin Booker,1610612756,Phoenix Suns,4,2,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-202,141,1,1,20151114,PHX,DEN,Regular,7
Shot Chart Detail,0021500157,505,1626164,Devin Booker,1610612756,Phoenix Suns,4,1,35,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-31,1,1,20151116,PHX,LAL,Regular,7
Shot Chart Detail,0021500174,373,1626164,Devin Booker,1610612756,Phoenix Suns,3,1,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-227,116,1,1,20151118,PHX,CHI,Regular,7
