GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Season,year
Shot Chart Detail,0021100013,63,202695,Kawhi Leonard,1610612759,San Antonio Spurs,1,5,50,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20111226,SAS,MEM,Regular,9
Shot Chart Detail,0021100013,96,202695,Kawhi Leonard,1610612759,San Antonio Spurs,1,2,41,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,10,61,1,0,20111226,SAS,MEM,Regular,9
Shot Chart Detail,0021100013,115,202695,Kawhi Leonard,1610612759,San Antonio Spurs,1,1,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-134,200,1,0,20111226,SAS,MEM,Regular,9
Shot Chart Detail,0021100013,352,202695,Kawhi Leonard,1610612759,San Antonio Spurs,3,5,43,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,22,1,0,20111226,SAS,MEM,Regular,9
Shot Chart Detail,0021100013,357,202695,Kawhi Leonard,1610612759,San Antonio Spurs,3,5,13,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,0,1,0,20111226,SAS,MEM,Regular,9
Shot Chart Detail,0021100013,366,202695,Kawhi Leonard,1610612759,San Antonio Spurs,3,4,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,0,1,1,20111226,SAS,MEM,Regular,9
Shot Chart Detail,0021100013,378,202695,Kawhi Leonard,1610612759,San Antonio Spurs,3,3,28,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,33,1,1,20111226,SAS,MEM,Regular,9
Shot Chart Detail,0021100013,381,202695,Kawhi Leonard,1610612759,San Antonio Spurs,3,2,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-179,179,1,0,20111226,SAS,MEM,Regular,9
Shot Chart Detail,0021100013,534,202695,Kawhi Leonard,1610612759,San Antonio Spurs,4,0,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,70,238,1,0,20111226,SAS,MEM,Regular,9
Shot Chart Detail,0021100029,438,202695,Kawhi Leonard,1610612759,San Antonio Spurs,4,4,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,144,1,1,0,20111228,SAS,LAC,Regular,9
Shot Chart Detail,0021100029,488,202695,Kawhi Leonard,1610612759,San Antonio Spurs,4,1,44,Missed Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,15,1,0,20111228,SAS,LAC,Regular,9
